$R$;	$\alpha_{\text{DoubleRLPN-BJMM12}}$; $\beta_{\text{DoubleRLPN-BJMM12}}$;	$\sigma$;	$R_{\text{aux}}$;	$\nu$;	$\omega$;	$\ell_1$;	$\ell_2$;	$\pi_1$;	$\pi_2$;	$\tau$
0.0100000000;	0.0053940771;	0.0053940537;	0.0054485752;	0.0053940537;	0.4388002382;	0.0008555171;	0.0006432971;	0.0008596570;	0.0002260881;	0.0004279318;	0.4411976113
0.0200000000;	0.0100900826;	0.0100899665;	0.0103101503;	0.0100899665;	0.4126587696;	0.0018882707;	0.0014253916;	0.0019067798;	0.0005016228;	0.0009449931;	0.4169374819
0.0300000000;	0.0144294887;	0.0144293668;	0.0148602480;	0.0144293668;	0.3924442015;	0.0030203552;	0.0022885077;	0.0030655822;	0.0008055620;	0.0015124184;	0.3983883007
0.0400000000;	0.0185045477;	0.0185042597;	0.0192399922;	0.0185042597;	0.3753989974;	0.0042222644;	0.0032099198;	0.0043053664;	0.0011298728;	0.0021154541;	0.3828063944
0.0500000000;	0.0223627454;	0.0223626717;	0.0235108348;	0.0223626717;	0.3604287401;	0.0054790054;	0.0041806533;	0.0056153871;	0.0014707783;	0.0027468971;	0.3691277490
0.0600000000;	0.0260350702;	0.0260347203;	0.0278403274;	0.0260347203;	0.3469227446;	0.0067627808;	0.0044937876;	0.0069577657;	0.0017688842;	0.0033922980;	0.3568060608
0.0700000000;	0.0295425364;	0.0295425083;	0.0319625585;	0.0295425083;	0.3344893686;	0.0081063362;	0.0041592581;	0.0084949181;	0.0020424784;	0.0040763228;	0.3455164513
0.0800000000;	0.0329229255;	0.0329103186;	0.0369668842;	0.0329103186;	0.3230327866;	0.0093477401;	0.0048330340;	0.0101227493;	0.0023674986;	0.0047233016;	0.3350470240
0.0900000000;	0.0361864683;	0.0361263998;	0.0421059749;	0.0361263060;	0.3124081251;	0.0105840869;	0.0055094681;	0.0117677450;	0.0026930397;	0.0053710002;	0.3252504474
0.1000000000;	0.0393394266;	0.0392236361;	0.0474442382;	0.0392223455;	0.3022605173;	0.0118080439;	0.0061802013;	0.0133333450;	0.0030139748;	0.0060087592;	0.3160193463
0.1100000000;	0.0423786746;	0.0422358467;	0.0522765782;	0.0422346839;	0.2926351436;	0.0131219367;	0.0069432464;	0.0154887030;	0.0033779387;	0.0067318157;	0.3072725855
0.1200000000;	0.0453169811;	0.0451375763;	0.0571041347;	0.0451363809;	0.2835289579;	0.0144490399;	0.0077339407;	0.0177594153;	0.0037517745;	0.0074733596;	0.2989470742
0.1300000000;	0.0481475472;	0.0478346692;	0.0628747928;	0.0478332524;	0.2749595247;	0.0156349256;	0.0083969820;	0.0192916880;	0.0040656451;	0.0080959588;	0.2909925969
0.1400000000;	0.0508847750;	0.0503718832;	0.0690791081;	0.0503707752;	0.2667894195;	0.0167523938;	0.0090137465;	0.0205501110;	0.0043541432;	0.0086670669;	0.2833684055
0.1500000000;	0.0535217972;	0.0530170091;	0.0743012364;	0.0530157578;	0.2585801013;	0.0180628768;	0.0097979068;	0.0226829719;	0.0047215699;	0.0093944603;	0.2760408918
0.1600000000;	0.0560723544;	0.0554262619;	0.0806834284;	0.0554249121;	0.2508281769;	0.0191781823;	0.0104104708;	0.0238914691;	0.0050077991;	0.0099607707;	0.2689819483
0.1700000000;	0.0585315427;	0.0578900395;	0.0853115830;	0.0578888184;	0.2433992350;	0.0205961073;	0.0113314063;	0.0267995596;	0.0054353453;	0.0108055943;	0.2621677832
0.1800000000;	0.0609006545;	0.0598671994;	0.0924651434;	0.0598657433;	0.2366226913;	0.0215460723;	0.0118418924;	0.0276689193;	0.0056723281;	0.0112737248;	0.2555780457
0.1900000000;	0.0631833005;	0.0621208247;	0.0981592799;	0.0621205127;	0.2295633107;	0.0228052046;	0.0126165440;	0.0297211720;	0.0060294077;	0.0119781380;	0.2491951667
0.2000000000;	0.0655015704;	0.0631168276;	0.1096966405;	0.0631151154;	0.2238069417;	0.0228537169;	0.0123898106;	0.0271879052;	0.0059226562;	0.0117666377;	0.2430038538
0.2100000000;	0.0675029989;	0.0660898480;	0.1108289816;	0.0660888665;	0.2164873373;	0.0250670169;	0.0139923850;	0.0330820124;	0.0066579481;	0.0132157831;	0.2369906989
0.2200000000;	0.0695554711;	0.0681017145;	0.1151007365;	0.0681005398;	0.2104257359;	0.0265698781;	0.0150713021;	0.0367987097;	0.0071515196;	0.0141874382;	0.2311438685
0.2300000000;	0.0715051405;	0.0699580373;	0.1225644735;	0.0699569454;	0.2040040737;	0.0275454430;	0.0155965201;	0.0374786150;	0.0073859535;	0.0146466510;	0.2254528565
0.2400000000;	0.0733805856;	0.0713618666;	0.1305900590;	0.0713607642;	0.1983609260;	0.0283275738;	0.0160201031;	0.0380491952;	0.0075753906;	0.0150177273;	0.2199082857
0.2500000000;	0.0751842484;	0.0730416293;	0.1369910004;	0.0730401819;	0.1925831848;	0.0294665394;	0.0167539175;	0.0399685111;	0.0079065073;	0.0156674496;	0.2145017449
0.2600000000;	0.0769146023;	0.0746428398;	0.1428968702;	0.0746414780;	0.1870766410;	0.0306904108;	0.0175953188;	0.0424614415;	0.0082858677;	0.0164115511;	0.2092256559
0.2700000000;	0.0785658225;	0.0761175926;	0.1504658315;	0.0761161385;	0.1815032883;	0.0316174003;	0.0181329526;	0.0434179475;	0.0085253234;	0.0168798139;	0.2040731631
0.2800000000;	0.0801448501;	0.0775022972;	0.1579830648;	0.0775010243;	0.1761304966;	0.0325447338;	0.0186973044;	0.0445156290;	0.0087731131;	0.0173629683;	0.1990380410
0.2900000000;	0.0816491092;	0.0788015869;	0.1649009759;	0.0788004307;	0.1710284804;	0.0335713202;	0.0193880931;	0.0462984866;	0.0090779799;	0.0179578019;	0.1941146171
0.3000000000;	0.0830898795;	0.0800450031;	0.1703351868;	0.0800424277;	0.1663024551;	0.0348645246;	0.0203787079;	0.0496193145;	0.0095210194;	0.0188245471;	0.1892977054
0.3100000000;	0.0844407483;	0.0803401502;	0.1824712937;	0.0803385543;	0.1617736397;	0.0347108723;	0.0200421160;	0.0471897089;	0.0093602694;	0.0185054034;	0.1845825514
0.3200000000;	0.0857274496;	0.0817530617;	0.1898758530;	0.0817520144;	0.1565693620;	0.0357234945;	0.0206599316;	0.0483722759;	0.0096307121;	0.0190317467;	0.1799647839
0.3300000000;	0.0869449990;	0.0830578419;	0.1959018850;	0.0830562816;	0.1517559233;	0.0369827970;	0.0215666721;	0.0510414504;	0.0100323337;	0.0198153231;	0.1754403737
0.3400000000;	0.0881121042;	0.0827567832;	0.2089804110;	0.0827567832;	0.1479198424;	0.0364838301;	0.0210199812;	0.0482646691;	0.0097825722;	0.0193241313;	0.1710055982
0.3500000000;	0.0891621205;	0.0843186102;	0.2119640069;	0.0843171095;	0.1433250289;	0.0384249720;	0.0226136449;	0.0537187164;	0.0104785309;	0.0206774945;	0.1666570104
0.3600000000;	0.0901741560;	0.0849097375;	0.2224922123;	0.0849074493;	0.1388446573;	0.0386736940;	0.0226018132;	0.0525995032;	0.0104680061;	0.0206541135;	0.1623914120
0.3700000000;	0.0911595257;	0.0871973010;	0.2238049764;	0.0871963504;	0.1336839261;	0.0412077951;	0.0246038367;	0.0589982904;	0.0113434463;	0.0223561438;	0.1582058297
0.3800000000;	0.0919815174;	0.0868909231;	0.2353036636;	0.0868890538;	0.1302123829;	0.0410323331;	0.0243986070;	0.0578058045;	0.0112434497;	0.0221564669;	0.1540974945
0.3900000000;	0.0927737800;	0.0866233615;	0.2457012863;	0.0866217812;	0.1268039309;	0.0410845013;	0.0244462149;	0.0576760136;	0.0112515368;	0.0221657356;	0.1500638235
